id,name,category,review_count,address,rating,number,image_url,custom_category
114,텐푸라바사바사,일식당,446,경기 수원시 장안구 서부로 2112 1층 텐푸라 바사바사,,0507-1393-6266,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231107_242%2F169933718165307xH0_JPEG%2FIMG_7825.jpeg,일식
115,더에이치,바(BAR),173,경기 수원시 장안구 서부로2136번길 10 2층,,0507-1444-0416,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20230712_169/1689168251638rhWoC_JPEG/IMG_4811.jpeg,양식
116,명가양꼬치,양꼬치,189,경기 수원시 장안구 서부로2105번길 21,,031-292-1788,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20220118_172/1642490883105llIIq_JPEG/F0BAA089-CC94-4EE2-B7B5-B45A27FEB6CB.jpeg,아시안
117,Not alone,"카페,디저트",141,경기 수원시 장안구 화산로213번길 9-3 1층 Not alone,,0507-1351-7074,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230306_104%2F1678085297529OC3MI_JPEG%2FKakaoTalk_20221122_112201582_08.jpg,카페
118,히닭발,닭발,235,경기 수원시 장안구 율전로98번길 18-4 1층 히닭발,,031-227-8875,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=http://imagefarm.baemin.com/smartmenuimage/upload/image/2019/1/2019/1/pyPv6t_QoYG7RI1oHY1KxcBIJD3CIkiPErkMb_72cI4MZF9-w70VAuZ4e5grUxK4.jpg,한식
119,일미닭갈비파전 성대점,닭갈비,241,경기 수원시 장안구 서부로2106번길 21 2층,4.59,031-296-6641,,한식
120,카페롤랑,"카페,디저트",354,경기 수원시 장안구 율전로85번길 20 1층 카페롤랑,4.35,031-298-8366,,카페
121,최고당돈가스 율전점,돈가스,553,경기 수원시 장안구 서부로2105번길 21 103호 최고당돈가스 율전점,,0507-1393-7993,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20230222_92/1677056673110rLNkj_JPEG/%BB%FD%BE%C8%BD%C9%B0%A1%BD%BA.jpg,한식
122,노모어피자 정자천천점,피자,131,경기 수원시 장안구 만석로19번길 11-7 1층 107호,,0507-1391-2755,,피자
123,역전할머니맥주 성균관대점,"맥주,호프",529,경기 수원시 장안구 율전로108번길 23 역전할머니맥주,4.43,0507-1343-2213,,한식
124,깡우동 성대점,포장마차,302,경기 수원시 장안구 화산로233번길 30 1층 102호,4.45,0507-1429-0998,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20240109_234/1704789127301IFhsh_JPEG/%C7%C3%B7%B9%C0%CC%BD%BA_%B5%EE%B7%CF%BB%E7%C1%F8_%BE%EE%B9%AC%C5%C1.jpg,일식
125,비건디저트 모앤더비,"카페,디저트",399,경기 수원시 장안구 율전로 105 모앤더비,,0507-1351-8462,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20230215_38/1676435619620tbXh6_JPEG/KakaoTalk_20230210_140555092_10.jpg,카페
126,십인치,양식,60,경기 수원시 장안구 화산로233번길 56 2층,,0507-1304-0798,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20240305_261/1709649079742Xt21J_JPEG/%B9%D9%C1%F6%B6%F42.jpg,양식
127,철길부산집 수원성균관대점,이자카야,36,경기 수원시 장안구 율전로108번길 20 1층 일부호,,0507-1365-7081,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20240304_76/1709560013994y6oHv_JPEG/%B8%DE%C0%CE%BF%E4%B8%AE_%B9%F6%C5%CD%B9%AE%BE%EE_%B4%D9%B8%AE%B1%B8%C0%CC.JPG,양식
128,교촌치킨 율전1호점,"치킨,닭강정",844,경기 수원시 장안구 서부로2123번길 34-3 율전1호점,4.22,031-292-9898,,치킨
129,하노이맥주밤거리 수원성대점,요리주점,186,경기 수원시 장안구 율전로108번길 20 1층,,0507-1417-6770,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20240111_174/1704955081274zt3hg_JPEG/1._%B8%F0%B5%EB%B2%BF%C1%F6%BD%BA%C6%E4%BC%C8%286ps%29.jpg,양식
130,만취,요리주점,33,경기 수원시 장안구 화산로233번길 38 2층 202호,,0507-1481-1644,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20240202_56/1706862023041dCjlT_JPEG/%B0%A1%B8%AE%BA%F1%C2%F2.JPG,양식
131,밀주집,요리주점,52,경기 수원시 장안구 화산로233번길 38 지하1층,,0507-1374-2007,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20230920_141/1695221034167f3bNq_JPEG/IMG_3944.jpeg,양식
132,르뱅베이커리,베이커리,438,경기 수원시 장안구 서부로2135번길 13,4.65,0507-1439-4050,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20200613_194/15920422943444yGpp_JPEG/HnCgM0HjqErWkhaAmRjLWymW.jpg,카페
133,휘미관,한식,161,경기 수원시 장안구 서부로2105번길 29 1층 휘미관,,031-295-2023,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20230916_61/1694794449353b8Hx0_JPEG/R_%BC%F6%C1%A6%B2%CA%C3%DF%C6%A2%B1%E83.jpg,한식
134,황소마을 곱창,"곱창,막창,양",158,경기 수원시 장안구 서부로2105번길 12 황소마을곱창,,031-278-0212,,한식
135,아이엠바리스타,카페,205,경기 수원시 장안구 서부로 2132,4.67,031-227-0866,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20220625_204/16561313059410KlKy_JPEG/20200214_113723.jpg,카페
136,동네빈대떡 성대직영점,"전,빈대떡",257,경기 수원시 장안구 율전로 90-4 (한종빌딩 1층) 동네빈대떡,,031-296-0530,,한식
137,파치 성대점,"스파게티,파스타전문",238,경기 수원시 장안구 서부로 2136 지하 1층,,0507-1491-0410,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20230914_15/1694666809062gNkxy_JPEG/%B8%C5%BF%EE%C4%A1%C5%B2%B7%CE%C1%A6_%282%29.jpg,양식
138,지코바치킨 율전점,"치킨,닭강정",408,경기 수원시 장안구 서부로2126번길 17 a동 2호,4.45,031-296-9582,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20240310_280/1710049795148CCIvG_JPEG/1710049777722.jpg,치킨
139,춘천닭갈비칡냉면,닭갈비,440,경기 수원시 장안구 화산로233번길 64,,031-291-3338,,한식
140,태화루,중식당,430,경기 수원시 장안구 서부로2181번길 46 제일성모의원1층 태화루,4.25,031-271-6006,,중식
141,행컵 성균관대점,"도시락,컵밥",270,경기 수원시 장안구 서부로2126번길 30,4.43,031-291-2150,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=http://imagefarm.baemin.com/smartmenuimage/upload/image/2020/12/22/vVYPMdmvyZYCquxvAXXoTCBuLDhWYCqMAVqHMqtbYcQ=.jpg,한식
142,맥도날드 수원 성균관대점,햄버거,999+,경기 수원시 장안구 서부로 2127,4.38,031-890-6000,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20200402_43/1585799390626dW1Xz_PNG/vjxntRY-WVCtrQJvmaheg4tw.png,버거
143,자연김밥,김밥,754,경기 수원시 장안구 서부로 2113,4.48,031-291-9990,,분식
144,부산꼼장어,"장어,먹장어요리",48,경기 수원시 장안구 덕영대로425번길 12 1층,,0507-1323-8221,,한식
145,우특심한우곱창,"곱창,막창,양",378,경기 수원시 장안구 율전로 90-10,4.28,031-292-9901,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20180712_26/1531403242984JSli8_GIF/p_gIEip9-UHi9EAoy-WNl-ah.gif,한식
146,바바플,와플,222,경기 수원시 장안구 서부로2126번길 30 1층 바바플,4.67,031-291-4917,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20220602_274/1654130157633bmYsf_JPEG/1654129845659.jpg,카페
147,성대왕돈까스,돈가스,233,경기 수원시 장안구 서부로2106번길 21,4.38,031-298-5415,,한식
148,육식,돼지고기구이,150,경기 수원시 장안구 율전로 92 106호,,0507-1379-6501,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20220315_15/1647321061147kDTGu_JPEG/1647320591512-1.jpg,한식
149,쉬즈베이글 수원성대점,"카페,디저트",355,경기 수원시 장안구 서부로2106번길 22,4.56,0507-877-3579,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20221029_155/1667030492911ij914_JPEG/%B9%D9%B4%D2%B6%F3%B6%F3%B6%BC.jpg,카페
150,한남동그집 성대역점,요리주점,112,경기 수원시 장안구 서부로2123번길 20 1층 104호,,0507-1339-1152,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20231102_20/1698899660294SY6N5_JPEG/%C7%D1%BF%EC%C0%B0%C8%B8.jpg,양식
151,참바른김밥,김밥,878,경기 수원시 장안구 서부로2126번길 17 참바른김밥,4.37,031-295-8111,,분식
152,도미노피자 율천점,피자,637,경기 수원시 장안구 하률로 3 1층,4.31,031-269-3008,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190805_211%2F1564973506757fTup4_JPEG%2FU6XIrbRh1-XfDdLB-iTFckTt.jpg,피자
153,크림오리,"카페,디저트",90,경기 수원시 장안구 덕영대로425번길 41 1층 크림오리 카페,,0507-1411-6252,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=http://imagefarm.baemin.com/smartmenuimage/upload/image/2022/12/30/chXK40fmdC2gces7dbmw1bSz1UAiqR8W_s7PaZ73ntZJZHLoeGBkOQqZMVl4oT6j.jpg,카페
154,배스킨라빈스 수원성대점,아이스크림,999+,경기 수원시 장안구 서부로 2119 1층,4.42,031-278-5050,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=http://imagefarm.baemin.com/smartmenuimage/upload/image/2021/2/4/WGuDbttoZZFWTnIISnclDZVQOIWXSnC_9XbtKDztKF8R22_1Ld1eZ6NEbG6m9kbv.jpg,카페
155,선참치,생선회,281,경기 수원시 장안구 서부로2105번길 26-4,4.11,031-278-3785,,한식
156,무쏘 성대점,소고기구이,242,경기 수원시 장안구 서부로 2187 율전BD,4.09,031-271-8292,,한식
157,버터랏츠,베이커리,602,경기 수원시 장안구 서부로2181번길 29 1층,4.69,0507-1371-2044,,카페
158,대동집 수원성균관대점,한식,290,경기 수원시 장안구 율전로108번길 15,4.42,0507-1361-9993,,한식
159,완미족발 수원성대점,"족발,보쌈",370,경기 수원시 장안구 서부로 2107,,031-295-9269,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20230822_111/1692669084072YHeyz_JPEG/%BA%CE%C3%DF%C0%FC_%C3%F8%B8%E9.jpg,한식
160,오디디,카페,83,경기 수원시 장안구 율전로108번길 10-1 1층,4.93,0507-1364-8018,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20210711_31/1625930678597s9htM_JPEG/Ylta61fdLIV3IDQSYaraUpve.jpeg.jpg,카페
161,땅스부대찌개 성대점,"찌개,전골",688,경기 수원시 장안구 율전로 107 105호,4.53,031-293-8599,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/2/26/xE8TF_Lj7xF7UfhctI3d_MQTl2gX0c9EmfAAg3pT44438S6s9f0OuCBB-NMJ8a0XdvyHSdLS1dv0FWxgoSV5TVAJ2s4lfmFxwrfx29Smkio=.jpg,한식
162,전설의치킨 성대점,"치킨,닭강정",424,경기 수원시 장안구 하률로12번길 4 율천프라자 104호,4.52,031-271-8295,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20210506_162/1620281899421aUfjC_JPEG/Lmm4XsHpJ4rtJWXbfGlLQPdn.jpg,치킨
163,이까야,이자카야,62,경기 수원시 장안구 서부로2105번길 26-2,4.63,031-295-7716,,양식
164,경기수산직판장,생선회,399,경기 수원시 장안구 율전로97번길 4 경기수산직판장,4.45,031-292-2454,,한식
165,밥은화 수원 성균관대점,한식,80,경기 수원시 장안구 서부로2106번길 26-6 1층 밥은화,4.62,0507-1388-7948,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190504_226%2F1556962040592cYQvq_JPEG%2F_vLVdIB0_OQoQbcpeVfMCoUh.jpeg.jpg,한식
166,피자헐 성대점,피자,281,경기 수원시 장안구 율전로 105,4.51,0504-3142-0822,,피자
167,르 디망슈,"카페,디저트",397,경기 수원시 장안구 율전로107번길 5 1층 르디망슈,4.61,0507-1426-0638,,카페
168,편백회관 천천점,샤브샤브,334,경기 수원시 장안구 만석로19번길 11-7 8층 편백회관,,0507-1360-9065,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20240430_221/1714487474444Psbhx_JPEG/%B4%D9%BF%EE%B7%CE%B5%E5_%282%29.jpg,한식
169,하삼동커피 수원성균관대점,카페,819,경기 수원시 장안구 서부로2126번길 17 A동 상가3호,4.64,031-297-0708,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200709_21%2F1594260728790qyAOY_JPEG%2FbzTFc5PImpWVJjZ82wJRK1q0.jpg,카페
170,우리동네스시신조,"초밥,롤",999+,경기 수원시 장안구 만석로19번길 25-5 2층,4.46,0507-1320-5582,,일식
171,샐러디치오도씨 수원성대점,샌드위치,146,경기 수원시 장안구 서부로2106번길 21 1층 4호,,0507-1468-1401,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=http://imagefarm.baemin.com/smartmenuimage/upload/image/2020/4/24/Americano3_110105_870.jpg,카페
172,본죽&비빔밥cafe 수원천천점,죽,999+,경기 수원시 장안구 만석로5번길 12-10 중앙프라자 1층,,031-253-8884,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240408_172%2F1712586425314YVGvU_PNG%2Fdo-messenger_screenshot.png,한식
173,BBQ치킨 수원성대역점,"치킨,닭강정",217,경기 수원시 장안구 서부로2126번길 27,4.22,031-295-9289,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20221107_143/1667818879782qFNMs_PNG/%C5%A9%B7%B1%C4%A1_%BC%F8%BB%EC%C5%A9%B7%A1%C4%BF.png,치킨
174,왕빈자삼파전 성대점,"전,빈대떡",146,경기 수원시 장안구 서부로2126번길 18,,031-292-5673,,한식
175,한솥도시락 수원성대점,"도시락,컵밥",248,경기 수원시 장안구 서부로 2112,4.58,031-295-5113,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20180912_173/1536743931274NHiSA_JPEG/kQ2O93ZYJrrI12WZdPDBzTIl.jpg,한식
176,가장맛있는족발 수원율전점,"족발,보쌈",229,경기 수원시 장안구 율전로98번길 7 1층 가장맛있는족발 수원율전점,,031-295-5849,,한식
177,쉐프의돈카츠,돈가스,151,경기 수원시 장안구 하률로 21 1층,4.43,0507-1366-2686,,한식
178,만다,한식,233,경기 수원시 장안구 서부로2105번길 16-6,4.46,031-296-8848,,한식
179,북한산조개구이,조개요리,188,경기 수원시 장안구 서부로2135번길 13,4.42,031-292-4855,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20200809_151/15969725146060hr2t_JPEG/WRC9QTRohNlagoh22EGZ_4vc.jpg,한식
180,맥주거품 성균관대점,"맥주,호프",58,경기 수원시 장안구 율전로108번길 20 1층 105~107호,,031-293-0331,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20231108_79/1699445034551Lf2XF_JPEG/%B0%A3%C0%E5%C4%A1%C5%B2.JPG,양식
181,신전떡볶이 수원성대점,분식,665,경기 수원시 장안구 서부로 2107 1층,4.43,031-305-1080,,분식
182,이라부,술집,221,경기 수원시 장안구 서부로 2135 제일성모의원,4.61,0507-1479-1303,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_118%2F1441116862521tc7cg_JPEG%2F156463523730823_0.jpeg,양식
183,빨간석쇠구이 성대점,"육류,고기요리",184,경기 수원시 장안구 서부로2105번길 26-3,4.71,0507-1379-0068,,한식
184,반한맛,한식,238,경기 수원시 장안구 서부로2167번길 52 반.한.맛,,0507-1411-3007,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20230905_219/1693901031220nRUyI_JPEG/%B9%DD%C7%D1%B8%C0%B4%EB%BF%D5%B5%B7%B1%EE%BD%BA.jpg,한식
185,맘스터치 수원성균관대점,햄버거,999+,경기 수원시 장안구 서부로 2128,4.32,031-298-8305,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20230807_30/1691382602150S0OWj_PNG/%C4%DC%BB%F8%B7%AF%B5%E5.png,버거
186,버거운버거 수원성균관대점,햄버거,210,경기 수원시 장안구 서부로2126번길 29 1층,,031-293-9266,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=http://imagefarm.baemin.com/smartmenuimage/upload/image/2021/10/13/suUg9HsyYx6XObdoR2VAWRZClkoX_vo6eP9rDwoZMI4V_5coDZaiBZLQvXvElQUh.jpg,버거
187,한아스콘,베이커리,337,경기 수원시 장안구 율전로101번길 13 1층 한아스콘,4.73,0507-1443-3414,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20240327_85/1711547531494oHwDd_JPEG/2024-03-13-17-01-07-136.jpg,카페
188,최고당돈가스 수원천천점,돈가스,999+,경기 수원시 장안구 만석로5번길 6 1층 최고당돈가스 천천점,,0507-1487-7977,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20230222_92/1677056673110rLNkj_JPEG/%BB%FD%BE%C8%BD%C9%B0%A1%BD%BA.jpg,한식
189,안도,이자카야,117,경기 수원시 장안구 율전로 73 대우이안상가1동 1층 101호,,010-3254-4283,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20220115_287/164223309126593dAW_JPEG/1642233024689-9.jpg,양식
190,성대족발보쌈,"족발,보쌈",90,경기 수원시 장안구 서부로2105번길 16-1,4.68,0507-1335-1089,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20230905_4/1693921357778lCjFa_JPEG/Resized_IMG_5151%281%29.jpeg,한식
191,보드람치킨 성대역점,"치킨,닭강정",508,경기 수원시 장안구 서부로2123번길 10,4.35,031-291-8535,,치킨
192,에그2000 커피&토스트 율전점,토스트,76,경기 수원시 장안구 율전로 107 1층 에그2000율전점,,0507-1432-2076,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=http://imagefarm.baemin.com/smartmenuimage/upload/image/2023/10/16/QYCULOsDrTw9mUH6C51g-ufviOInAManAnDpzzF6RFt9lHw72PL44F9j2E76yQbe.jpg,카페
193,양지촌,양꼬치,135,경기 수원시 장안구 화산로213번길 25 1층 양지촌,,0507-1472-0826,,아시안
194,지장수본가전주콩나물국밥 2호점,국밥,425,경기 수원시 장안구 서부로2123번길 29,4.37,031-298-8878,,한식
195,희망김밥,김밥,69,경기 수원시 장안구 율전로97번길 15 102호,,031-295-9036,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20230517_185/1684330277754l4fey_JPEG/B31D4CF1-3E42-4C78-8B52-8272C2972F3D.jpeg,분식
196,아마스빈 수원성균관대점,카페,680,경기 수원시 장안구 서부로 2130,4.47,0507-2093-5331,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20230404_270/16805761897826N2Dz_PNG/%BD%BA%C5%A9%B8%B0%BC%A6_2023-04-04_%BF%C0%C0%FC_11.43.01.png,카페
197,부자국밥,국밥,213,경기 수원시 장안구 화산로233번길 46 부자국밥,4.36,031-296-3421,,한식
198,메가MGC커피 수원율전점,카페,999+,경기 수원시 장안구 서부로2105번길 16-4,4.51,031-296-6650,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20200629_189/1593420919624IudbG_JPEG/vtsnSSpUR74u-ePTJ8nnI8Lp.jpg,카페
199,마왕족발 성균관대점,"족발,보쌈",329,경기 수원시 장안구 서부로2105번길 29,4.46,0507-1391-3015,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20221208_229/1670468359148z8CbW_PNG/%B4%EB%C1%F6_2_%B8%AE%BB%E7%C0%CC%C2%A1.png,한식
200,청진동해장국 율전성대점,해장국,389,경기 수원시 장안구 서부로2123번길 17 우신빌딩,4.37,0507-1341-2393,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_5%2F1441046779681NI2y1_JPEG%2FSUBMIT_1376471659458_33061071.jpg,한식
201,심,이자카야,31,경기 수원시 장안구 서부로2136번길 21,,1644-0001,,양식
202,정직유부 수원성대점,분식,69,경기 수원시 장안구 서부로2126번길 10,,0507-0289-3684,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=http://imagefarm.baemin.com/smartmenuimage/upload/image/2023/4/20/hrKhqjTihenwr9-PaVyjeVB_ec9pJdlLqrsb207OT2PpwDFxdHaBVSMfZawOCtK0jJW4sfsxjyIwhGkOD4gpdI9Ffx9I5wCWl9QVNR-U1UI=.jpg,분식
203,가마로강정 성균관대점,"치킨,닭강정",533,경기 수원시 장안구 서부로 2129-1 1층 가마로강정,,031-227-7292,,치킨
204,롯데리아 수원성대,햄버거,999+,경기 수원시 장안구 서부로 2119 농협,4.28,031-293-7755,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=http://imagefarm.baemin.com/smartmenuimage/upload/image/2021/1/25/sYEjDN2DcL_KZmDhsnpNskhaiHvkgpEYI8sSDnxXS38q2EtnEKpFbfasxcAmRibY.jpg,버거
205,율전동,요리주점,117,경기 수원시 장안구 화산로233번길 59 2층 율전동,,0507-1393-4188,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20230717_77/1689602893320uECwa_JPEG/20230717_230403.jpg,양식
206,호시타코야끼 성대점,일식당,190,경기 수원시 장안구 서부로2106번길 26-3 1층 101호,,0507-1331-6496,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20240217_141/17081534136515IsfG_PNG/3.%B4%AB%B2%C9%C4%A1%C1%EE%C5%B8%C4%DA%BE%DF%B3%A2%B4%A9%B3%A2.png,일식
207,보배반점 성균관대점,중식당,144,경기 수원시 장안구 서부로 2132 2층,,0507-1351-8833,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=http://imagefarm.baemin.com/smartmenuimage/upload/image/2022/10/12/tSPXow_cVlukvEFDvtqQlw9pjxf-5dqJ1uWyC9gDs4A=.jpg,중식
208,밥밥디라라 수원성균관대점,한식,220,경기 수원시 장안구 서부로2106번길 26-3 1층 103호,,0507-1376-6750,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20240208_197/1707377996558BW1bm_JPEG/9-1.%BD%BA%C6%D4%C6%A2%B1%E8.jpg,한식
209,하남돼지집 수원천천점,돼지고기구이,351,경기 수원시 장안구 만석로19번길 11-3 태영프라자 2층 202호,4.14,0507-1354-9924,,한식
210,펀비어킹 수원 천천동점,"맥주,호프",170,경기 수원시 장안구 만석로19번길 11-7 대일프라자 2층,4.43,031-269-9066,,양식
